book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787535319746,长大不容易,https://img2.doubanio.com/view/subject/l/public/s1497791.jpg,蒋子丹,,儿童文学,湖北少年儿童出版社,辫子一直忘不了柳柳当时得意洋洋的样子。他用一种居高临下的态度胡撸胡撸许久的头，叫着许久的小名儿说，狸猫，把你的宝贝红铅笔贡献出来给俺用用。,2021-12-20 20:28:29,2021-12-20 20:28:29
,小飞人三部曲,https://img3.doubanio.com/view/subject/l/public/s4137590.jpg,[瑞典]阿·林格伦,任溶溶,儿童文学,湖南少年儿童出版社,"故事写一个小男孩幻想了一个与他作伴，以排遣孤独的童话人物卡尔松。卡尔松矮矮胖胖，住在斯德哥尔摩一户人家的屋顶上，肚子上有个按钮，一揿，他背上的螺旋桨就呜呜转动，带着卡尔松飞腾起来。这就是""小飞人""。卡尔松爱掏气、爱吹牛、有无穷的想像力，也爱帮助弱者。小男孩跟卡尔松一起，从人家窗口飞进去，干起了淘气的事来。卡尔松什么都知道，对样样事情,他都是专家。例如他知道""世界上用积木搭房子搭得最好的人""，""世界上画鸡画得最像的人""，诸如此类。读者可以从这部童话中了解大城市的生活，了解这个快乐的世界上还有罪犯，还有弃儿。这部童话所展示的心理活动和语言之细腻、幽默感之强烈，令人惊叹。小飞人三部曲，共分为三部童话。第一部《住在屋顶上的小飞人》原名《小家伙和住在屋顶上的卡尔松》，作于1955年，第二部《小飞人又飞了》作于1962年，第三部《小飞人新奇遇记》作于1968年...",2021-12-20 20:28:31,2021-12-20 20:28:31
9787532482405,银孔雀,https://img2.doubanio.com/view/subject/l/public/s4471542.jpg,安房直子,彭懿,儿童文学,少年儿童出版社,银孔雀，ISBN：9787532482405，作者：安房直子著,2021-12-20 20:28:32,2021-12-20 20:28:32
9787535802545,罗大里童话,https://img9.doubanio.com/view/subject/l/public/s2058535.jpg,[意]贾尼·罗大里,任溶溶,儿童文学,湖南少儿出版社,洋葱头历险记电视迷历险记蓝箭号列车历险记假话国历险记,2021-12-20 20:28:34,2021-12-20 20:28:34
9787201110066,小鹿斑比,https://img2.doubanio.com/view/subject/l/public/s29212042.jpg,[奥地利]费利克斯·萨尔腾,梅静,儿童文学,天津人民出版社,"《小鹿斑比》是奥地利作家费利克斯·萨尔腾的一部童话故事。故事叙述了一只小鹿的成长故事，是一部关于爱、成长与生命的童话。动物的理想世界是宁静的、和谐的、美好的，但也是充满了矛盾和危险的。顽皮的兔子、害羞的臭鼬以及睿智的猫头鹰要如何帮助小鹿斑比度过难关、体会""学习成长，才能不断接受挑战""人生观？老鹿王又是怎样引导小鹿一步一步走向成熟，独自成长为新一代的鹿王？故事从动物的视觉反应了人类与动物之间相辅相克的生存现状，也从中展现出动物间的亲情、友情以及人类与动物间的复杂感情。""大限将至时，我们都是独自一人。""这是老鹿王教给斑比深刻的道理，也是我们每个人都要学会的事情。",2021-12-20 20:28:35,2021-12-20 20:28:35
9787540238599,绿山墙的安妮全集,https://img1.doubanio.com/view/subject/l/public/s34069447.jpg,[美]露西·莫德·蒙哥马利,马爱农、刘畅等,儿童文学,北京燕山出版社,露西•莫德•蒙哥马利听说有个家庭要领养一个男孩，结果领来了一个女孩的事，灵感顿生，就写了一个小孤女故事。于是，《绿山墙的安妮》诞生了：满脸雀斑的红头发小孤女安妮，阴差阳错来到了绿山墙农舍，她碎碎叨叨的谈吐、天马行空的想象和满脑子美好的念头，打破了古板木讷的马修、玛丽拉的沉闷生活，让宛如美景的绿山墙农舍焕发出了别样的生命力和魅力。从此，这个身世可怜的小姑娘像明媚的太阳、娇嫩的鲜花一样慰藉了年老的马修兄妹，温暖了全世界的读者，让每一个读过她的故事的人都充满了幸福感。《绿山墙的安妮》出版后，读者的信像雪片一下飞向露西•莫德•蒙哥马利家，大家异口同声表示：想知道安妮后来怎样了。于是，有了《花季安妮》《小岛上的安妮》《风杨林的安妮》《梦中小屋的安妮》《壁炉山庄的安妮》《彩虹幽谷》《壁炉山庄的丽拉》，接续《绿山墙的安妮》，讲述了安妮上大学、工作、结婚、养育孩...,2021-12-20 20:28:36,2021-12-20 20:28:36
,长袜子皮皮,https://img3.doubanio.com/view/subject/l/public/s2651600.jpg,[瑞典]阿·林格伦,任溶溶,儿童文学,湖南少年儿童出版社,,2021-12-20 20:28:38,2021-12-20 20:28:38
,狼王洛波,https://img9.doubanio.com/view/subject/l/public/s2336424.jpg,[加拿大]西顿,黎金,儿童文学,少年儿童出版社,,2021-12-20 20:28:39,2021-12-20 20:28:39
9787539148038,不一样的卡梅拉 珍藏版Ⅰ,https://img1.doubanio.com/view/subject/l/public/s4013079.jpg,(法)克利斯提昂.约里波瓦文,郑迪蔚,儿童文学,二十一世纪出版社,认识卡门吗？还有她的哥哥卡梅利多？以及他们的小伙伴：小胖墩、小六字、鼻涕虫、小刺头？他们是鸡窝里的调皮分子。看大海、摘星星、找太阳……他们的梦想一个接一个，在小鸡们的心中没有什么是不可能的！,2021-12-20 20:28:40,2021-12-20 20:28:40
9787534006494,中华少年奇才:彩色卡通画(上下) (精装),https://img1.doubanio.com/view/subject/l/public/s3358007.jpg,奚天鹰等编,,儿童文学,浙江人民美术出版社,,2021-12-20 20:28:41,2021-12-20 20:28:41
