9787501425457,福尔摩斯探案全集（共4册）,https://img3.doubanio.com/view/subject/l/public/s5822610.jpg,阿·柯南·道尔,丁钟华,推理,群众出版社,本书收入英国著名的侦探小说家阿•柯南道尔的《血字的研究》、《四签名》、《巴斯克维尔的猎犬》、《恐怖谷》、《冒险史》、《回忆录》、《归来记》、《最后致意》、《新探安》等力作，它们被推为经典之作。 作者以严密的结构、跌宕的情节，成功地塑造了福尔摩斯机智神勇的大侦探形象。从《血字的研究》1887年出版以来，经历了一百多年，他的作品仍常盛不衰。　　阿瑟•柯南•道尔塑造的福尔摩斯形象是身材瘦削、高大健步、鹰钩鼻子、头戴猎帽、肩披风衣、口衔烟斗，他冷静理智、机智勇敢、博学多闻、细致耐心、追求真理、坚持原则，他神秘的外表、零乱的书桌，独特的穿着、千变万化的乔装掩饰、足智多谋的头脑，锲而不舍的作风、济弱扶贫但尊重法理的侠义精神，简直就是正义的化身，在各个时代各个国家都是人们心中的英雄。故事合乎逻辑的推理引人入胜，结构起伏跌宕，人物形象鲜明，故事曲折生动，涉及当时英...,2021-12-25 17:19:27,2021-12-25 17:19:27
9787201088471,夏洛克·福尔摩斯全集,https://img2.doubanio.com/view/subject/l/public/s27891583.jpg,[英]阿瑟·柯南·道尔,,推理,天津人民出版社,柯南道尔（1859-1930）生于苏格兰爱丁堡附近的皮卡地普拉斯，父亲是政府建工部的公务员。青海年时期在教会学校学习，的来在爱丁堡大学攻读医学，一八八五年获医学博士学位。一九0二年，因对英国在南非战争的政策辩护而被封爵。,2021-12-25 17:19:41,2021-12-25 17:19:41
,Caged,https://img1.doubanio.com/view/subject/l/public/s4352949.jpg,syren,,推理,橫濱馬車道,"这是一个关于笼子的故事。笼子。锁。外面。里面。你是谁的笼子，谁的鸟。谁是你的笼子，你的锁。束缚从来都不是单向的。真相从来都是层出不穷的错觉。This is the storyFor every one that is building, is breaking, or resides in Cages.For every soul that is looking for, is escaping from, or belives in Love.这是一个关于爱的故事。【开本】：A5【字数】：10万【页数】：218页正文+6页其他+内外双封面【内页】：70克轻型纸【内封】：175克白卡【外封】：200克冰白【工艺】：封面烫银【赠品】：PVC半透明书签一张【定价】：27元【其他】：书签有御手洗（蓝色）和石冈（红色）两...",2021-12-25 17:19:52,2021-12-25 17:19:52
9787513338004,罗杰疑案,https://img2.doubanio.com/view/subject/l/public/s33599931.jpg,[英]阿加莎·克里斯蒂,常禾,推理,新星出版社,金斯艾伯特村里坐落着两座豪宅，其中之一居住着罗杰先生。他是一个知道太多秘密的人。他知道他爱的女人——居住在另一所大宅里的弗拉尔斯太太毒死了她的第一任丈夫。他知道有人在敲诈她。随后，他又得知她服用了过量药物自杀身亡。晚上到达的信件很快就会揭晓那个神秘敲诈者的身份。罗杰坐在书房里，展开她最后的来信——可是，也许他没机会知道了。一把匕首刺入了他的脖颈……,2021-12-25 17:20:05,2021-12-25 17:20:05
9789888029662,LIAR.GAMEⅨ,https://img9.doubanio.com/view/subject/l/public/s4025705.jpg,甲斐谷忍,洪嘉惠,推理,天下,即使歷盡艱辛，阿直、秋山和福永3人，總算第3回合的敗者復活戰裡獲勝。雖然贏了，但為了拯救對手的3名成員，卻令自己的負債再度增加。接著在第4回合，等待著阿直他們的，是預賽「感染遊戲」。參加者必須避開看不見的「感染者」，同時單靠觀察其他參賽者的言行舉止，和他們建立信賴關係，製造疫苗……要怎樣才能信任對方？要怎樣才能獲取對方信任？「疑心生暗鬼」的氣氛蔓延，激烈的鬥智遊戲揭開序幕！！,2021-12-25 17:20:17,2021-12-25 17:20:17
9784488429119,アルファベット・パズラーズ,https://img1.doubanio.com/view/subject/l/public/s28034909.jpg,大山誠一郎,,推理,東京創元社,警視庁捜査一課刑事の後藤慎司、翻訳家の奈良井明世、精神科医の竹野理絵は、彼らが住むマンションのオーナー峰原卓の部屋に集まり推理合戦に興じる。指紋照合システムに守られた部屋で発見された死体、クルーズ船の殺人現場に残された奇妙なダイイング・メッセージ、三転四転する悪魔的な誘拐爆殺事件―名探偵の推理と意外な真相を鮮やかに描く、本格推理界の俊英第一の著書。,2021-12-25 17:20:31,2021-12-25 17:20:31
,福尔摩斯探案集（二）,https://img1.doubanio.com/view/subject/l/public/s2849557.jpg,[英]阿瑟·柯南·道尔,,推理,群众出版社,个人认为，尽管该书现在有了众多汉译本，但早期的群众的译本仍然是该书最好的译本。第二册包括长篇《恐怖谷》（含《伯尔斯通的悲剧》《死酷党人》两部）和短篇集《冒险史》。,2021-12-25 17:20:46,2021-12-25 17:20:46
9784488017118,アルファベット・パズラーズ (ミステリ・フロンティア),https://img9.doubanio.com/view/subject/l/public/s4526885.jpg,大山誠一郎,,推理,東京創元社,東京、三鷹市の井の頭公園の近くに“ＡＨＭ”という四階建てのマンションがある。その最上階に住むオーナー・峰原卓の部屋に集まるのは、警視庁捜査一課の刑事・後藤慎司、翻訳家・奈良井明世、精神科医・竹野理絵の三人。彼らは紅茶を楽しみながら、慎司が関わった事件の真相を解明すべく推理を競う。毒殺されるという妄想に駆られていた婦人を巡る殺人事件、指紋照合システムに守られた部屋の中で発見された死体、そして三転四転する悪魔的な誘拐爆殺事件―精緻なロジックと鋭利なプロット、そして意外な幕切れ。本格ミステリ界期待の俊英が満を持して放つパズラーの精華。,2021-12-25 17:20:58,2021-12-25 17:20:58
9787807037019,福尔摩斯探案全集（全八卷）,https://img1.doubanio.com/view/subject/l/public/s6772749.jpg,[英]阿瑟·柯南·道尔,王知一,推理,百家出版社,1。内容完整。收全了福尔摩斯探案系列的全部作品，共计4部长篇和56部短篇；2。译文最新。本次译文总结了以往版本的长处，修正了以往版本的部分错误，赋予了经典著作以新鲜的时代感。3。图片丰富。文中插图共407幅，全部为英国著名插画家西德尼·帕格特所创作的原版插画，还在前插页中配有16幅珍贵历史图片，均为国内首次发表。4。装祯精美。八卷硬精装，封面烫银，全套配有印制精美的包装盒，方便携带与珍藏。5。真情馈赠。每套书均赠送红木制福尔摩斯大力水手烟斗一把，使广大的福尔摩斯迷们多了一份珍贵的纪念与收藏。6。限量绝版。本套精装本为限量印刷发行，发完为止，不再重印。,2021-12-25 17:21:13,2021-12-25 17:21:13
,福尔摩斯探案集（三）,https://img2.doubanio.com/view/subject/l/public/s2888491.jpg,【英』柯南道尔,,推理,群众出版社,个人认为，尽管该书现在有了众多汉译本，但早期的群众的译本仍然是该书最好的译本。第三册包括短篇集《回忆录》。,2021-12-25 17:21:29,2021-12-25 17:21:29
,福尔摩斯探案集（一）,https://img2.doubanio.com/view/subject/l/public/s2952143.jpg,[英]阿瑟·柯南·道尔,,推理,群众出版社,血字的研究四签名巴斯克维尔德猎犬,2021-12-25 17:21:50,2021-12-25 17:21:50
9787540219529,福尔摩斯探案全集,https://img2.doubanio.com/view/subject/l/public/s6014852.jpg,[英]阿瑟·柯南·道尔,贾文浩,推理,北京燕山出版社,《福尔摩斯探案全集》的全译本，包括四个中篇：《血字研究》、《四个签名》、《巴斯克维尔的猎犬》、《恐怖山谷》和分别收入五个故事集：《福尔摩斯探案经历》、《福尔摩斯回忆录》、《福尔摩斯归来记》、《最后的致意》、《福尔摩斯案卷集》的五十六个短篇故事。2009年5月22日是历史上伟大的侦探小说家柯南道尔诞辰150周年纪念。“柯南道尔 诞辰 150周年纪念版”《福尔摩斯探案全集》，全三册，装帧精良，品味不俗。值得关注的是，本书附赠全彩《福迷手册》一本。《福迷手册》收录了“福学”的基本常识和研究文章，为我国广大福尔摩斯研究者和爱好者提供了一个找到自己身份的机会。此外，此书采用了大量原版佩吉特的插图，图文并茂，值得收藏。,2021-12-25 17:22:05,2021-12-25 17:22:05
9787106019327,福尔摩斯探案全集,https://img3.doubanio.com/view/subject/l/public/s1812980.jpg,[英]阿瑟·柯南·道尔,贺天同,推理,中国电影出版社,最著名的、风靡世界的神探福尔摩斯，所侦破的案件离奇、惊险、刺激，其故事情节曲折多变，令人惊心动魄。当你打开书时，你的心就会随着它上下起伏、波动，即使感到恐怖也不忍释手。本套书收入了《血字的研究》、《四签名》、《奇案记》、《巴斯克维尔的猎犬》、《福尔摩斯复出》、《福尔摩斯回忆录》、《恐怖谷》、《他的最后致意》、《福尔摩斯案例选辑》等故事，愿它能引起广大读者的兴趣。,2021-12-25 17:22:20,2021-12-25 17:22:20
9787501412907,福尔摩斯探案全集(缩印本),https://img2.doubanio.com/view/subject/l/public/s29405493.jpg,[英]阿瑟·柯南·道尔,丁钟华,推理,群众出版社,柯南道尔（1859-1930）生于苏格兰爱丁堡附近的皮卡地普拉斯，父亲是政府建工部的公务员。青海年时期在教会学校学习，的来在爱丁堡大学攻读医学，一八八五年获医学博士学位。一九0二年，因对英国在南非战争的政策辩护而被封爵。,2021-12-25 17:22:36,2021-12-25 17:22:36
,福尔摩斯探案集（四）,https://img3.doubanio.com/view/subject/l/public/s3166960.jpg,[英]阿瑟·柯南·道尔,欧阳达,推理,群众出版社,第四册有短篇集<<归来记>>,2021-12-25 17:22:51,2021-12-25 17:22:51
9787540484170,福尔摩斯探案全集诺顿注释本 第一卷,https://img2.doubanio.com/view/subject/l/public/s33837271.jpg,[英]阿瑟·柯南·道尔著,刘彬,推理,湖南文艺出版社,对福尔摩斯和他所处时代的权威诠释。——《纽约时报》著名福学家莱斯利·克林格花费近30年编著的福尔摩斯注释本，荣获爱伦·坡奖、“特别歇洛克”奖等多项大奖，受到来自阿瑟·克拉克、马丁·加德纳等作家、学者的推崇，被《华盛顿邮报》赞誉为“没有比《福尔摩斯探案全集诺顿注释本》更好的福尔摩斯探索指南了”。在本卷中，克林格将1891年至1893年首次发表在《海滨杂志》上的系列故事（即后来出版的单行本《冒险史》和《回忆录》）结集整理，内容涵盖福尔摩斯探案生涯的早期时代。此外，本书还收录有：1）克林格撰写的《歇洛克·福尔摩斯的世界》，为读者了解柯南·道尔的生平事迹、进入福尔摩斯的侦探世界提供了一份富于洞察力的无价指南。2）由著名的插画家西德尼·佩奇特、W．H．海德以及诸多已被遗忘的插画家绘制的近400幅插图。3）上千条详尽的注释，涵盖福学的重大问题，带领读者深...,2021-12-25 17:23:03,2021-12-25 17:23:03
9787020073610,阿加莎·克里斯蒂侦探推理“波洛”系列（全32册）,https://img1.doubanio.com/view/subject/l/public/s4057937.jpg,[英]阿加莎·克里斯蒂,,推理,人民文学出版社,《阿加莎·克里斯蒂侦探推理“波洛”系列(套装全32册)》包括《蓝色列车之谜》、《古墓之谜》、《人性记录》、《沉默的证人》、《东方快车谋杀案》、《阳光下的罪恶》、《罗杰疑案》、《尼罗河上的惨案》、《死亡约会》、《悬崖山庄奇案》、《ABC谋杀案》、《空谷幽魂》、《云中命案》、《啤酒谋杀案》、《斯泰尔斯庄园奇案》、《鸽群中的猫》、《底牌》、《葬礼之后》、《幕后凶手》、《牙医谋杀案》、《高尔夫球场命案》、《死人的殿堂》、《四魔头》、《圣诞奇案》、《柏棺》、《第三个女郎》、《三幕悲剧》、《怪钟》、《大象的证词》、《清洁女工之死》、《致命遗产》、《万圣节前夜的谋杀案》。阿加莎·克里斯蒂被誉为举世公认的侦探推理小说女王。她的著作英文版销售量逾10亿册，而且还被译成百余种文字，销售量亦逾10亿册。她一生创作了80部侦探小说和短篇故事集，19部剧本，以及6部以玛丽·...,2021-12-25 17:23:15,2021-12-25 17:23:15
,福尔摩斯探案集(五),https://img2.doubanio.com/view/subject/l/public/s2893843.jpg,[英]阿瑟·柯南·道尔,雨久,推理,群众出版社,<<最后致意>><<新探案>>,2021-12-25 17:23:30,2021-12-25 17:23:30
